티커종목코드,고객구성중분류코드,평균고객계좌수비율,평균고객투자비율
AA          ,0~29세,16.227760317460316,9.233766666666666
AA          ,10억원이상,0.983322641509434,5.7460452830188675
AA          ,1억원이상~10억원미만,19.79019523809524,49.87304761904762
AA          ,30~39세,23.787049206349206,17.304485714285715
AA          ,3천만원~1억원미만,22.150644444444445,24.06169365079365
AA          ,3천만원미만,57.231923809523806,21.231277777777777
AA          ,40~49세,26.157346031746034,29.33460634920635
AA          ,50~59세,24.36824761904762,23.35066349206349
AA          ,60세~,9.459607936507936,20.77649523809524
AA          ,일반투자자,97.61577619047618,94.24433809523809
AA          ,투자고수,2.3842238095238093,5.755663492063492
AAL         ,0~29세,21.699609523809524,12.07789523809524
AAL         ,10억원이상,0.2372857142857143,9.575492063492064
AAL         ,1억원이상~10억원미만,9.010088888888887,35.119063492063496
AAL         ,30~39세,37.42936984126984,39.24720952380952
AAL         ,3천만원~1억원미만,19.634666666666664,28.24302857142857
AAL         ,3천만원미만,71.08107142857143,27.06208253968254
AAL         ,40~49세,23.694085714285713,19.106901587301586
AAL         ,50~59세,12.59747142857143,17.717146031746033
AAL         ,60세~,4.57945873015873,11.850842857142858
AAL         ,일반투자자,98.38733333333333,97.90809365079365
AAL         ,투자고수,1.6126666666666667,2.091906349206349
AAN         ,0~29세,8.3333,1.0791
AAN         ,1억원이상~10억원미만,17.136373015873016,68.81421746031745
AAN         ,30~39세,59.7377873015873,12.68975873015873
AAN         ,3천만원~1억원미만,9.819022222222221,12.463084126984127
AAN         ,3천만원미만,73.04460793650794,18.72269206349206
AAN         ,40~49세,37.190015873015874,85.37256190476191
AAN         ,50~59세,8.819738095238094,5.761671428571429
AAN         ,일반투자자,99.54648253968254,99.98868888888889
AAN         ,투자고수,7.1429,0.17815
AAOI        ,0~29세,31.394738095238097,2.624179365079365
AAOI        ,1억원이상~10억원미만,17.1760873015873,88.29715714285715
AAOI        ,30~39세,37.47795555555555,56.69594603174603
AAOI        ,3천만원~1억원미만,16.130468253968253,4.418442857142857
AAOI        ,3천만원미만,66.69345396825398,7.284385714285714
AAOI        ,40~49세,7.85888253968254,0.48696349206349204
AAOI        ,50~59세,18.049896825396825,39.63478095238095
AAOI        ,60세~,5.218557142857143,0.558115873015873
AAOI        ,일반투자자,95.5087253968254,98.03307936507936
AAOI        ,투자고수,6.15109347826087,2.6938282608695654
AAON        ,1억원이상~10억원미만,81.69313492063493,70.98757777777777
AAON        ,30~39세,35.724613043478264,67.33167391304347
AAON        ,3천만원~1억원미만,34.64909473684211,68.9316
AAON        ,3천만원미만,38.0769,39.85247692307693
AAON        ,40~49세,40.84654761904762,21.623779365079365
AAON        ,50~59세,46.111106349206345,53.794822222222216
AAON        ,일반투자자,100.0,100.0
AAP         ,0~29세,8.7121,7.2552
AAP         ,10억원이상,11.378860317460317,1.6190428571428572
AAP         ,1억원이상~10억원미만,17.77536031746032,4.951236507936509
AAP         ,30~39세,11.111100000000002,9.6489
AAP         ,3천만원~1억원미만,23.066363492063495,48.518501587301586
AAP         ,3천만원미만,47.779363492063496,44.91122063492063
AAP         ,40~49세,29.3305873015873,12.965071428571427
AAP         ,50~59세,57.02664285714285,83.99080793650793
AAP         ,60세~,12.131626984126985,1.7416984126984127
AAP         ,일반투자자,99.29453333333333,97.41224603174602
AAP         ,투자고수,11.1111,40.757149999999996
AAPB        ,0~29세,26.63673968253968,18.36783650793651
AAPB        ,10억원이상,1.3078079365079367,5.5482587301587305
AAPB        ,1억원이상~10억원미만,13.67066031746032,27.030876190476192
AAPB        ,30~39세,36.44934126984127,43.00697936507937
AAPB        ,3천만원~1억원미만,26.414950793650796,35.833798412698414
AAPB        ,3천만원미만,58.606588888888886,31.58706666666667
AAPB        ,40~49세,22.470703174603173,26.246066666666664
AAPB        ,50~59세,10.404925396825398,10.99003492063492
AAPB        ,60세~,4.038314285714286,1.3890809523809524
AAPB        ,일반투자자,92.99752063492063,84.76602222222222
AAPB        ,투자고수,7.002480952380952,15.233977777777778
AAPL        ,0~29세,28.276038095238096,16.460761904761906
AAPL        ,10억원이상,0.5323142857142857,9.759974603174603
AAPL        ,1억원이상~10억원미만,11.025614285714285,38.69770952380952
AAPL        ,30~39세,36.86701111111111,28.74482857142857
AAPL        ,3천만원~1억원미만,21.92573650793651,26.4809126984127
AAPL        ,3천만원미만,66.51615396825397,25.061382539682537
AAPL        ,40~49세,19.90363015873016,25.235474603174605
AAPL        ,50~59세,10.308271428571429,15.73985238095238
AAPL        ,60세~,4.641992063492063,13.80730634920635
AAPL        ,일반투자자,96.43639523809524,94.50360952380952
AAPL        ,투자고수,3.563604761904762,5.496390476190476
AAPU        ,0~29세,23.918784126984125,33.998266666666666
AAPU        ,10억원이상,0.6633111111111112,0.19742857142857143
AAPU        ,1억원이상~10억원미만,17.671539682539684,49.84553333333333
AAPU        ,30~39세,24.60457619047619,19.975220634920635
AAPU        ,3천만원~1억원미만,26.13781904761905,28.400714285714287
AAPU        ,3천만원미만,55.527341269841266,21.55633015873016
AAPU        ,40~49세,27.5465873015873,27.599190476190476
AAPU        ,50~59세,17.571639682539683,14.496661904761906
AAPU        ,60세~,6.358428571428572,3.9306555555555556
AAPU        ,일반투자자,93.46240317460318,83.5771126984127
AAPU        ,투자고수,6.537596825396825,16.422888888888888
AAT         ,0~29세,24.78478653846154,1.7062346153846153
AAT         ,10억원이상,18.333353846153845,73.80265384615385
AAT         ,1억원이상~10억원미만,16.215557894736843,65.35109473684211
AAT         ,30~39세,31.75735873015873,16.627761904761904
AAT         ,3천만원~1억원미만,26.71334901960784,57.16221960784314
AAT         ,3천만원미만,69.70144761904763,18.78764126984127
AAT         ,40~49세,35.015119047619045,43.79998253968254
AAT         ,50~59세,25.141365625,75.1352125
AAT         ,일반투자자,92.99319365079366,73.38505238095239
AAT         ,투자고수,17.657152,67.069672
ABBV        ,0~29세,15.52920634920635,7.879025396825397
ABBV        ,10억원이상,0.7666238095238095,4.334684126984127
ABBV        ,1억원이상~10억원미만,20.915565079365077,49.48522222222222
ABBV        ,30~39세,35.206428571428575,26.791103174603176
ABBV        ,3천만원~1억원미만,31.923079365079364,29.12623015873016
ABBV        ,3천만원미만,46.39473968253968,17.05387619047619
ABBV        ,40~49세,30.818987301587303,37.737793650793655
ABBV        ,50~59세,14.351,19.785674603174602
ABBV        ,60세~,4.094388888888889,7.806419047619047
ABBV        ,일반투자자,98.51096984126984,98.58267936507937
ABBV        ,투자고수,1.4890301587301586,1.4173222222222222
ABCB        ,0~29세,20.297630555555557,39.79043333333333
ABCB        ,1억원이상~10억원미만,16.714306666666666,6.111986666666667
